time,power,alpha,beta,gamma
1455713727802,0.97,286.6487731933594,96.83678436279297,-5.967162132263184
1455713727860,0.97,286.7640075683594,96.84131622314453,-5.948256492614746
1455713727922,0.97,286.840576171875,96.85088348388672,-5.93435001373291
1455713727980,0.97,286.8616943359375,96.88198852539062,-5.929364204406738
1455713728042,0.97,286.91754150390625,96.87857055664062,-5.917738914489746
1455713728100,0.97,287.1775817871094,96.88754272460938,-5.8895440101623535
1455713728162,0.97,287.3147277832031,96.8702621459961,-5.849273204803467
1455713728219,0.97,287.9970703125,96.6812515258789,-5.687302112579346
1455713728282,0.97,288.3752136230469,96.52220916748047,-5.57459020614624
1455713728339,0.97,288.8719787597656,96.22075653076172,-5.36208963394165
1455713728402,0.97,289.50067138671875,95.82089233398438,-5.102938652038574
1455713728458,0.97,289.7832946777344,95.58650970458984,-4.966881275177002
1455713728521,0.97,290.739501953125,95.04554748535156,-4.618664264678955
1455713728578,0.97,291.15380859375,94.81352233886719,-4.471200466156006
1455713728641,0.97,291.8388977050781,94.28897857666016,-4.146561622619629
1455713728698,0.97,292.13677978515625,94.0329818725586,-3.953841209411621
1455713728761,0.97,292.079833984375,93.75452423095703,-3.7412993907928467
1455713728817,0.97,292.07891845703125,86.42313385009766,-3.56994366645813
1455713728880,0.97,292.9776306152344,87.04924774169922,-2.845766067504883
1455713728938,0.97,294.0372314453125,87.5792465209961,-2.119061231613159
1455713729000,0.97,295.6817321777344,87.84204864501953,-0.4787639379501343
1455713729057,0.97,296.14215087890625,87.46224975585938,0.0807824656367302
1455713729121,0.97,296.65045166015625,85.87071228027344,0.8571563959121704
1455713729178,0.97,297.5632629394531,83.7275161743164,2.1857240200042725
1455713729239,0.97,298.43994140625,82.31009674072266,3.3105878829956055
1455713729297,0.97,301.02886962890625,78.18895721435547,7.248533248901367
1455713729360,0.97,303.4800720214844,75.25601196289062,10.209529876708984
1455713729417,0.97,309.712646484375,67.5062255859375,17.749088287353516
1455713729479,0.97,312.69073486328125,63.46818542480469,21.675750732421875
1455713729537,0.97,317.0864562988281,55.624324798583984,29.2459659576416
1455713729600,0.97,318.40277099609375,52.58456039428711,32.259090423583984
1455713729657,0.97,318.26971435546875,47.91305160522461,53.85697555541992
1455713729720,0.97,315.7227783203125,45.17388916015625,50.80775451660156
1455713729776,0.97,314.0473937988281,41.160545349121094,46.64345932006836
1455713729839,0.97,315.0257263183594,26.530704498291016,42.888084411621094
1455713729896,0.97,320.3541259765625,19.12029457092285,44.61474609375
1455713729959,0.97,332.48297119140625,-1.3280373811721802,46.47019958496094
1455713730015,0.97,336.7531433105469,-14.754106521606445,47.02927017211914
1455713730078,0.97,359.79058837890625,-45.91959762573242,49.51430892944336
1455713730134,0.97,7.700776100158691,-57.850425720214844,29.275699615478516
1455713730198,0.97,345.18804931640625,-9.622274398803711,62.462982177734375
1455713730255,0.97,328.7199401855469,24.52309799194336,60.374488830566406
1455713730318,0.97,326.24041748046875,15.996950149536133,60.14174270629883
1455713730373,0.97,321.9914245605469,14.743391990661621,57.48479080200195
1455713730437,0.97,317.7406311035156,11.619062423706055,52.54340362548828
1455713730495,0.97,315.5589904785156,10.98809814453125,50.82305908203125
1455713730557,0.97,314.3981018066406,9.690394401550293,46.70522689819336
1455713730614,0.97,317.83392333984375,8.988221168518066,43.1707649230957
1455713730677,0.97,321.32879638671875,10.221235275268555,43.40370178222656
1455713730735,0.97,330.52508544921875,16.77606773376465,47.35576629638672
1455713730796,0.97,333.7847595214844,20.3829345703125,50.227508544921875
1455713730852,0.97,336.45538330078125,27.83223533630371,55.64756393432617
1455713730917,0.97,336.77825927734375,33.14649200439453,58.56851577758789
1455713730974,0.97,332.8818664550781,42.71426010131836,62.012325286865234
1455713731036,0.97,330.60980224609375,48.02469253540039,64.21367645263672
1455713731093,0.97,321.9295959472656,56.973175048828125,30.260356903076172
1455713731156,0.97,317.724853515625,62.54486083984375,25.345638275146484
1455713731214,0.97,303.8253173828125,69.84680938720703,16.75443458557129
1455713731277,0.97,289.4633483886719,75.39718627929688,8.443625450134277
1455713731333,0.97,283.244384765625,76.85194396972656,4.905737400054932
1455713731396,0.97,275.0377502441406,83.69490814208984,-0.748843252658844
1455713731453,0.97,273.4114074707031,86.50239562988281,-2.4050276279449463
1455713731516,0.97,270.2447814941406,95.2912826538086,-4.8543877601623535
1455713731572,0.97,270.3777770996094,97.6471939086914,-5.810764789581299
